ticket_id,fecha,hora,turno,dia_semana,total,num_comensales,metodo_pago,cliente_id
1001,2024-12-01,09:15,Desayuno,Domingo,12.50,2,Tarjeta,C001
1002,2024-12-01,09:45,Desayuno,Domingo,8.00,1,Efectivo,C002
1003,2024-12-01,14:30,Comida,Domingo,45.00,4,Tarjeta,C003
1004,2024-12-01,14:50,Comida,Domingo,32.50,3,Tarjeta,C004
1005,2024-12-01,15:20,Comida,Domingo,28.00,2,Efectivo,C005
1006,2024-12-01,20:15,Cena,Domingo,55.00,4,Tarjeta,C006
1007,2024-12-01,21:00,Cena,Domingo,38.50,2,Tarjeta,C001
1008,2024-12-02,10:00,Desayuno,Lunes,6.50,1,Efectivo,C007
1009,2024-12-02,13:45,Comida,Lunes,25.00,2,Tarjeta,C008
1010,2024-12-02,14:15,Comida,Lunes,42.00,3,Tarjeta,C009
1011,2024-12-02,19:30,Cena,Lunes,35.00,2,Efectivo,C010
1012,2024-12-03,09:30,Desayuno,Martes,15.00,2,Tarjeta,C011
1013,2024-12-03,14:00,Comida,Martes,38.00,3,Tarjeta,C012
1014,2024-12-03,20:45,Cena,Martes,48.50,4,Tarjeta,C013
1015,2024-12-04,12:00,Comida,Miércoles,22.00,2,Efectivo,C014
1016,2024-12-04,13:30,Comida,Miércoles,31.50,3,Tarjeta,C015
1017,2024-12-04,21:15,Cena,Miércoles,52.00,4,Tarjeta,C016
1018,2024-12-05,10:30,Desayuno,Jueves,9.50,1,Tarjeta,C017
1019,2024-12-05,14:45,Comida,Jueves,36.00,3,Tarjeta,C018
1020,2024-12-05,22:00,Cena,Jueves,44.00,2,Efectivo,C019
